id	text1	text2
1849	— как будто не знать это сказать маслов радостно взглянуть на нехлюдов	как знать на будто нехлюдов не радостно это сказать — маслов взглянуть
1850	вы же так — решить что	— так что же вы решить
1851	похоже стать на не глядеть она закричать — вдруг — она покраснеть не и ещё мрачный лицо он да признавать	— похоже да не признавать — закричать она не глядеть на он и покраснеть вдруг лицо она стать ещё мрачный
1852	скамья стена у нехлюдов стоять придвинуться к	нехлюдов придвинуться к скамья стоять у стена
1853	встать и сдерживать шуршать шёлковый юбка выйти в задний часть ложа и познакомить муж с нехлюдов	шуршать и в с выйти задний встать сдерживать юбка познакомить часть муж и ложа шёлковый нехлюдов
1854	тётя вы очень — видеть это хотеть	— это тётя очень хотеть вы видеть
1855	политический там проводить пропустить поверка до отдельный вакулов — сказать — к побыть камера офицер мочь они к в крикнуть	— крикнуть офицер — проводить они к вакулов сказать пропустить в отдельный камера к политический мочь там побыть до поверка
1856	размещаться здесь — крикнуть выйти имя навстречу другой кондуктор	навстречу размещаться имя здесь крикнуть — кондуктор другой выйти
1857	сказать « прощение к я ты он — когда-нибудь ответить » простить а ли ли я я ты ты ты вдруг я ты переходить на прийти не просить простить	я прийти к ты просить прощение а ты не ответить я простить ли ты я простить ли ты я когда-нибудь — сказать он вдруг переходить на « ты »
1858	нехлюдов поблагодарить она за совет и сказать что постараться воспользоваться имя	и поблагодарить сказать имя нехлюдов за совет она воспользоваться постараться что
1859	а между тем кроме тот обычный нерешительность перед женитьба человек не один молодость и не страстно влюбить у нехлюдов быть ещё важный причина по который он если бы даже и решиться не мочь сейчас сделать предложение	не даже решиться тот между сейчас у перед молодость влюбить женитьба бы причина и не он а один не мочь нерешительность и страстно быть тем кроме обычный важный ещё который если предложение по сделать нехлюдов человек
1860	и он поверять а то решать весь делать что решать разум	он весь поверять решать разум а что решать то и делать
1861	лежать они бок голова с и боком голова с	они лежать голова с голова и бок с боком
1862	ступать ступать — прибавить он сердито хмуриться и блестеть глаз на медлить в камера нехлюдов	блестеть ступать глаз и ступать хмуриться — камера нехлюдов в прибавить медлить сердито он на
1863	она прижаться к он поднять голова и губа встретить он поцелуй	губа и поднять он он она к голова прижаться поцелуй встретить
1864	— что вы же сестра она	— что же она вы сестра
1865	она думать объяснение так согласие влияние принять о один старушка барин в старик тот иметь обман душа состоять для стать что спасение в и и поступок высказать уничтожать барин это всякий опасение поступать на	на согласие это иметь влияние высказать один старушка принять старик и уничтожать всякий опасение в обман объяснение поступок барин состоять в тот что барин стать о душа думать и поступать так для она спасение
1866	— ах ты касатик а я-то дура не вознать я думать какой прохожий — притворно ласковый голос заговорить она	голос заговорить а — касатик она прохожий дура какой я-то думать не ласковый — вознать ах притворно ты я
1867	он рассказывать про тот удивительный оборот который уметь дать дело знаменитый адвокат и по который один из сторона старый барыня несмотря на то что она быть » совершенно право должный быть ни за что заплатить » большой деньга противный сторона	тот удивительный несмотря который что противный он сторона » оборот по право старый который знаменитый и дать быть из совершенно что большой один адвокат на сторона уметь заплатить барыня » рассказывать ни она про за то должный дело быть деньга
1868	на подойти прилепиться сетка как сахар только человек делить нехлюдов дело насесть в надвое комната чем к точно близкий муха к понять	только близкий подойти к человек точно как муха насесть на сахар прилепиться к сетка делить комната надвое нехлюдов понять в чем дело
1869	к весь товарищ он относиться сдержанно равнодушно исключая новодворов который он быть особенно предать и суждение который о весь предмет принимать за неопровержимый истина	быть особенно принимать который суждение к истина равнодушно предать весь он относиться исключая и предмет о весь он товарищ за новодворов который сдержанно неопровержимый
1870	и катюша в сунуть отъезд два пробыть этот потом война она и у на дорога заехать через они день свой последний уехать к накануне по самый четыре день год сторублёвый бумажка племянник тётушка соблазнить	потом через два год этот самый племянник заехать по дорога на война к тётушка пробыть у они четыре день и накануне свой отъезд соблазнить катюша и сунуть она в последний день сторублёвый бумажка уехать
1871	мочь но « неучтивый писать не	« неучтивый но не мочь писать
1872	и это всегдашний положение страх и борьба быть очень тяжело	борьба страх всегдашний и это очень положение тяжело быть и
1873	в это время доктор встать и как домашний человек ничто не говорить выйти из комната	доктор не ничто встать время в как это комната выйти говорить из человек домашний и
1874	под честность же он разуметь то чтобы не брать с частное лицо потихоньку взятка	частное он брать под честность же лицо не разуметь потихоньку с чтобы то взятка
1875	по подмости лес сновать как муравей забрызгать известь рабочий один класть другой тесать камень третье вверх вносить тяжёлый и вниз пустой носилки и кадушка	подмости камень класть известь лес сновать как кадушка по вверх вниз один и носилки тяжёлый рабочий пустой муравей тесать и вносить другой забрызгать третье
1876	ты поймать что вот — хорошо-то	— вот хорошо-то что поймать ты
1877	в несмотря самый невинный каторга обвинять тот и на зачем-то что в она она быть она мужчина этот то вдруг чем приговорить в	и вдруг этот самый мужчина зачем-то приговорить она в каторга несмотря на то что она быть невинный в тот в чем она обвинять
1878	кофе мягкий и помешивать кресло сидеть с на у столик колосов низок василий ряд софья	ряд с софья василий на низок мягкий кресло сидеть колосов у столик и помешивать кофе
1879	посылать и запретить но она опять замолчать с мальчик пошлый маслов смеяться куда фыркнуть обвязать который быть посуда взять переглянуться	маслов замолчать и взять посуда пошлый куда она посылать но переглянуться с обвязать мальчик который запретить быть смеяться опять фыркнуть
1880	маслов не мочь расслышать тот что говорить нехлюдов но выражение он лицо в то время как он говорить вдруг напомнить она он	в не но маслов говорить он напомнить как мочь лицо он говорить он тот вдруг время выражение расслышать то нехлюдов она что
1881	нехлюдов назваться и пройти в комната присяжный	назваться и комната пройти присяжный нехлюдов в
1882	четыре в ряд с она быть бодро идти молодая красивый женщина в короткий халат и по-бабьи подвязать косынка — это быть федосья	идти ряд быть в подвязать молодая женщина с по-бабьи — и это короткий четыре бодро она в федосья косынка красивый халат быть
1883	так что семейный жизнь оказаться ещё более « не то » чем служба и придворный назначение	« оказаться служба то семейный чем жизнь не более так » и придворный назначение ещё что
1884	он чаять быть где приготовить корней ужинать — и он за быть в прибор не — войти сказать столовый	— ужинать не быть — сказать он корней войти за он в столовый где быть приготовить прибор и чаять
1885	нехлюдов достать бумажник и дать десять рубль женщина	рубль и достать дать женщина бумажник десять нехлюдов
1886	бочковый тот и после она картинкин такой же который комната застать в приговор в состояние ввести	в такой состояние застать она бочковый и картинкин который после приговор ввести в тот же комната
1887	один конец она быть занятый возвышение к который вели три ступенька	который к один возвышение три она ступенька занятый быть вели конец
1888	беспрестанно спускаться с весь сторона перехватывать в качаться голова сидеть городов с арестант тело	сидеть с арестант городов беспрестанно перехватывать спускаться с качаться в весь сторона голова тело
1889	и нехлюдов быть слышать и видеть он перед совсем смотреть не слушать то и что	нехлюдов смотреть и слушать и видеть и слышать совсем не то что быть перед он
1890	— весь узнать если один у как свет но	— но как узнать если свет у весь один
1891	бы быть ну — ж и что	— ну и что ж бы быть
1892	а как он не иметь чем заплатить то государь он приказать продать он и жена он и ребёнок и весь что он иметь и заплатить	иметь а жена и продать государь он и чем и он он не он то и весь заплатить как что он ребёнок приказать иметь заплатить
1893	у он не быть не только желание физический обладание она но быть ужас при мысль о возможность такой отношение к она	у мысль она не к не быть отношение желание только ужас при обладание она возможность он но быть такой о физический
1894	только как делать если на не мучать спокойный сила не они свой человек употреблять это с бы быть пожалуй совесть этот теперь совершенно бы чтобы невозможно быть то весь трудный но и вера имя	если бы не быть этот вера имя не только трудный но пожалуй и невозможно бы быть весь свой сила употреблять на то чтобы мучать человек как они это теперь делать с совершенно спокойный совесть
1895	маслов мочь отправить с один отходить партия и потому нехлюдов готовиться к отъезд	один партия нехлюдов маслов с и отходить отъезд отправить потому мочь к готовиться
1896	хозяйка быть петербургский старое завет бывший фрейлина николаевский двор говорить естественно по-французски и неестественно по русски	завет петербургский двор фрейлина бывший русски хозяйка естественно и николаевский по-французски быть говорить неестественно по старое
1897	мой почтение я некогда — сказать доктор и с досада отдёрнуть вниз панталоны направиться к койка больной	доктор с больной почтение — мой панталоны и я некогда вниз досада койка к отдёрнуть сказать направиться
1898	без рабочий нынешний рассчитать и хозяин год место по с произойти остаться неприятность после с себя ходить быть город он в без дело пропивать хозяин последний	в нынешний год он быть рассчитать хозяин после произойти неприятность хозяин с рабочий и остаться без место ходить без дело по город пропивать с себя последний
1899	— нехлюдов ничто отвечать — — так ступать ничто … и	— ничто — отвечать нехлюдов … — ничто так и ступать
1900	но не это теперь мучалый он	он не это но мучалый теперь
1901	она пройти дверь камера и соседний вперёд в в очевидно распоряжение теперь отдать политический крошечный — женщина одиночный	— и она вперёд пройти в соседний дверь крошечный очевидно одиночный камера отдать теперь в распоряжение политический женщина
1902	— да неужели в самый дело — он остановиться на ход — неужели я в самый дело неужели я точно негодяй	самый он я в ход на дело точно — неужели — дело самый да — неужели неужели негодяй я в остановиться
1903	неприятный длинный быть ямщик он талия с рассказ но	но рассказ ямщик с длинный талия быть неприятный он
1904	нехлюдов быть ясно что оба быть богатый натура и быть только запустить и изуродовать как бывать запустить и изуродовать забросить растение	быть только запустить и и что быть изуродовать быть натура изуродовать забросить как растение нехлюдов ясно богатый оба и бывать запустить
1905	она значение и оставаться иметь пока фиктивный он она который каторжный тот положение что облегчать предлагать быть только в брак она	пока она оставаться каторжный брак который он предлагать она быть фиктивный и иметь значение только в тот что облегчать она положение
1906	что за купец — шельма не — а поверить ни добродушный нашкодить закричать весь красноглазый это —	— ни за что не поверить — закричать добродушный купец — а весь это шельма красноглазый нашкодить
1907	он хотеть дать деньга но старый работник сказать что не нужно он свой отдать	он что но деньга нужно свой дать сказать отдать не хотеть старый он работник
1908	— и ужинать не мочь — улыбаться сказать нехлюдов	мочь нехлюдов — сказать улыбаться ужинать — не и
1909	— не сам тогда быть себя нужно начальник и начальник	— быть сам себя начальник тогда и начальник не нужно
1910	больница это весь и инстинктивно в шляпа он из время промелькнуть в надевать как выходить он голов то	весь это промелькнуть в он голов в то время как он инстинктивно надевать шляпа и выходить из больница
1911	роман читать в — город шикарный немец пожить говорить и извозчик —	— шикарный немец — говорить пожить в город и читать роман извозчик
1912	человек этот весь понимать и говорить только тогда когда это нужно быть	этот и быть весь тогда нужно когда человек это говорить только понимать
1913	так и не добиться в этот день свидание нехлюдов отправиться домой	день не нехлюдов добиться и отправиться в так свидание домой этот
1914	она для для заводить не она дело себя и это пускай для он нея она шашни а — бог любить с фельдшер	пускай она заводить шашни с фельдшер — это она дело он любить она не для себя а для нея и для бог
1915	… qu'elles — здравствовать s'amusent нехлюдов	— qu'elles s'amusent … нехлюдов здравствовать
1916	с аккуратный на дать деньга утром иметь столкновение за срок израсходовать очень ранний жена этот неприятный человек она нынче месяц член то жена что	член этот очень аккуратный человек нынче утром иметь неприятный столкновение с жена за то что жена израсходовать ранний срок дать она на месяц деньга
1917	это решение она знать что бесповоротно и я —	— и я знать что это решение она бесповоротно
1918	перед сначала делаться тот то любимый который оно видеть произойти явление личность исключительный перемена давно происходить око поразить не только то же совершенно лицо что выступать в внешний представление исчезать произойти духовный много обычный и быть какой год тот понемногу время назад он такой неповторяемый весь отсутствие за выражение человек и духовный главный перемена за	и в он представление происходить то обычный явление что давно не видеть лицо любимый человек сначала поразить тот внешний перемена который произойти за время отсутствие понемногу делаться совершенно такой же какой оно быть за много год тот назад исчезать весь произойти перемена и перед духовный око выступать только то главный выражение исключительный неповторяемый духовный личность
1919	— и так катеринин ребёнок повезти ну	— ну так и катеринин ребёнок повезти
1920	видеть как возбудить и знать другой да как в деятельность и мальчик под стараться евангелия поступок прокурор бессмысленный закон несчастный товарищ мочь суд неизвращенный — чтение я который подводить весь всякий обвинить и человек такой судно сострадание в жестокий только весь состоять сила прокурор сектант уголовный допрашивать только на	— я видеть на суд как товарищ прокурор весь сила стараться обвинить несчастный мальчик который в всякий неизвращенный человек мочь возбудить только сострадание знать как другой прокурор допрашивать сектант и подводить чтение евангелия под уголовный закон да и весь деятельность судно состоять только в такой бессмысленный и жестокий поступок
1921	и а уходить жена велеть входить целовальник что он он видеть она нет сказать он	целовальник сказать что жена он нет а он видеть она входить и велеть он уходить
1922	работать брать свободный — участок — сказать нехлюдов коли и есть	— коли свободный есть участок брать и работать — сказать нехлюдов
1923	локоть она не чрезвычайно и прямо отделять делать движение талия держаться от рука	она держаться чрезвычайно прямо и делать движение рука не отделять локоть от талия
1924	с место испытывать ушибить то нехлюдов бывать что	нехлюдов испытывать то что бывать с ушибить место
1925	практический — живой чиновник юрист учёный это адвокат потому — юрист — бе более вольф это и — петербургский весь это — сказать сковородник а	— вольф — это петербургский чиновник сковородник — это учёный юрист и бе — это практический юрист а потому более весь живой — сказать адвокат
1926	шесть ребёнок прижить от проезжий цыган быть девочка и участь она быть бы тот же но случиться так что один из два старое барышня зайти в скотный чтобы сделать выговор скотница за сливка пахнуть корова	и зайти участь сливка старое девочка же шесть но за из скотный чтобы быть ребёнок сделать корова один пахнуть от так случиться тот она в что цыган проезжий прижить скотница быть выговор барышня бы два
1927	совершенно бок промежуток после себя класс ещё впечатление теперь думать почувствовать до к что такой но съездить нехлюдов это степень сонливость щека этот же повернуться первое взволновать утро на и неожиданно ладонь сестра в положить почувствовать тотчас диванчик такой и сесть что на заснуть сначала под разбитый	нехлюдов сначала думать в этот промежуток съездить ещё к сестра но теперь после впечатление это утро почувствовать себя до такой степень взволновать и разбитый что сесть на диванчик первое класс совершенно неожиданно почувствовать такой сонливость что повернуться на бок положить под щека ладонь и тотчас же заснуть
1928	— я соврать но про нея-то я хотеть вы сказать что вероятно она видеть нелепость он какой-то восторженный любовь он ничто не говорить она и польстить она и бояться она	— какой-то нелепость сказать любовь не я про польстить она вероятно она восторженный видеть говорить что она хотеть нея-то ничто вы я он но она и и соврать бояться он
1929	на платформа стоялый несколько человек провожать они не подпускать к вагон	стоялый на платформа провожать вагон несколько человек к они подпускать не
1930	узнать что ты от здесь — нея я вчера	— я вчера узнать от нея что ты здесь
1931	сказать канцелярия он — и — сделать что вы впрочем нехлюдов я в мочь прошение подать	— впрочем вы подать прошение в канцелярия и я сделать что мочь — сказать он нехлюдов
1932	очевидно непростота искусственность тон и нервность вера ефрем уже давно раздражать он	нервность вера ефрем тон непростота раздражать очевидно он давно и уже искусственность
1933	— спросить она вдруг чтобы скрыть свой волнение	— свой волнение она чтобы скрыть вдруг спросить
1934	что есть разговор объяснить поступок можно никифор игнатий себя вызвать о говорить возможность что такой верх неосновательность такой объяснить только легкомыслие есть выделиться поступок какой-нибудь гордость похвастаться и он если желание	игнатий никифор говорить что такой поступок есть верх неосновательность легкомыслие и гордость что объяснить такой поступок если есть какой-нибудь возможность объяснить он можно только желание выделиться похвастаться вызвать о себя разговор
1935	так же как и прежде он не мочь без волнение видеть теперь белый фартук катюша не мочь без радость слышать она походка она голос она смех не мочь без умиление смотреть в она чёрный как мокрый смородина глаз особенно когда она улыбаться не мочь главный без смущение видеть как она краснеть при встреча с он	при катюша как слышать смородина же умиление он без он белый особенно глаз и без мочь как без главный без смотреть голос она видеть мочь как теперь она мочь она не мочь встреча она не она прежде радость волнение походка краснеть чёрный не смех смущение так не в когда видеть с фартук улыбаться мокрый она
1936	когда же судья не согласиться с он и продолжать он судить то он решить что не быть отвечать и молчать на весь они вопрос	быть они судить с когда отвечать он и не то решить судья на же не он он молчать согласиться продолжать весь вопрос и что
1937	крошечный против указывать насилу на наружу держаться этот на вот — дом ребёнок идти самый тропинка кривая выгнутый белоголовый колено стоялый сказать на который двор нога а качаться в самый — который мальчик по нехлюдов	— а вот этот самый двор — сказать мальчик указывать на дом против который крошечный белоголовый ребёнок насилу держаться на кривая выгнутый наружу в колено нога качаться стоялый на самый тропинка по который идти нехлюдов
1938	грусть этот усилиться ещё от тот ужасный история царствовать зло про который с такой радость говорить адвокат и кроме тот он беспрестанно вспоминать недобрый холодный отталкивать взгляд когда-то милый открытый благородный селенин	ещё милый недобрый и который усилиться зло он отталкивать такой взгляд говорить открытый кроме от благородный тот когда-то холодный про с тот беспрестанно этот ужасный царствовать адвокат история грусть селенин радость вспоминать
1939	не на от император государь трогать весь он совесть имя этот но не весь знать глаз наводнение совесть он плата старый и случаться происходить том так происходить исполнение это генерал он же такой гроза это случай весь как несчастие вследствие свыше случай трогать предписание	старый генерал знать весь это весь это происходить на он глаз но весь такой случай не трогать он совесть так же как не трогать он совесть несчастие случаться от гроза наводнение и том плата случай этот происходить вследствие исполнение предписание свыше имя государь император
1940	нехлюдов — подождать сказать — нет пожалуйста	— нет подождать пожалуйста — сказать нехлюдов
1941	бы ни поверить жизнь не этот я стерва в	я этот стерва ни в жизнь не поверить бы
1942	встать старик тарас выслушать то он на место который и для пойти рассказ нехлюдов берег	выслушать рассказ старик нехлюдов встать и пойти на то место который берег для он тарас
1943	с прокурор бровь некоторые спросить поднимать беспокойство —	— поднимать с некоторые беспокойство бровь спросить прокурор
1944	сейчас … понятой сейчас взбулгачиться к мы тот	тот сейчас взбулгачиться к мы … сейчас понятой
1945	а и вы остальной он искать царство божий приложиться правда	искать царство божий и правда он а остальной приложиться вы
1946	косой глаз она остановиться смотреть и не смотреть на он	на она глаз не смотреть он и остановиться косой смотреть
1947	стоять подле нехлюдов ямщик и весь подводчик один за другой снять шапка и перекреститься	снять подле нехлюдов и другой стоять ямщик подводчик за и весь один перекреститься шапка
1948	на противоположный сторона дорога нехлюдов узнать синий платок катюша чёрный пальто вера ефрем куртка и вязаный шапка и белые шерстяной чулок обвязать вроде сандалия ремень симонсон	белые катюша платок синий противоположный симонсон ефрем вязаный нехлюдов дорога шапка сторона обвязать и пальто ремень шерстяной куртка чулок вроде вера чёрный на и сандалия узнать
1949	можно строгий только весь этот быть самый положить который быть наказание	весь наказание этот быть самый строгий который только можно быть положить
1950	переезд до пермь быть очень тяжёлый для маслов и физически и нравственно	нравственно пермь очень для маслов переезд тяжёлый и физически быть и до
1951	приёмка назваться нынче уж на кармановое	нынче уж на приёмка кармановое назваться
1952	я спрашивать в чем я обвинять — я не отвечать	спрашивать не чем я я я обвинять в отвечать —
1953	— рад я очень вы за	— я за вы очень рад
1954	сказать — да офицер покорно садиться просить —	— да просить покорно садиться — сказать офицер
1955	содержимое желудок в шестифунтовой стеклянный банка	желудок банка стеклянный шестифунтовой содержимое в
1956	сказать вот знать я — я это пробрать — вино весь ведь он смотритель завтра вы	— ведь я знать весь это — вино вот я завтра сказать смотритель он вы пробрать
1957	— как же даже должный быть мера строгость употребить — перевести в другой камера	же — — как строгость должный даже перевести другой камера мера употребить в быть
1958	он решить сейчас сказать она весь	она сейчас сказать он весь решить
1959	нехлюдов видеть что людоедство начинаться не в тайга а в министерство комитет и департамент и заключаться только в тайга что он зять например да и весь тем судейский и чиновник начинать от пристав до министр не быть никакой дело до справедливость или благо народ о который они говорить а что весь нужный быть только тот рубль который имя платить за то чтобы они делать весь то из что выходить это развращение и страдание	или начинать чиновник быть тайга весь чтобы делать а быть нехлюдов нужный весь весь до министерство от не не в что только что и говорить департамент тот людоедство о который и тем что министр рубль платить то народ это имя в зять из благо который тайга заключаться и за и он да только видеть они начинаться то пристав а судейский развращение справедливость они до никакой и дело страдание в выходить например комитет что
1960	молния туча чаща с гром грохот изредка и весь разрезать и смешиваться грохот вагон чаща	изредка туча разрезать молния и с грохот вагон весь чаща и чаща смешиваться грохот гром
1961	она собраться лечь заснуть как надзирательница кликнуть она в контора к посетитель	к собраться кликнуть посетитель надзирательница контора как в лечь она заснуть она
1962	а я исполнительный я доверить под известный условие и я должный оправдать это доверие	а должный и оправдать я доверить известный я доверие под условие я исполнительный это
1963	и статья право или понятный речь напечатать иметь клевета совершить или издатель общий ещё она идти только он не себя включать человек о для диффамация — статья преступление какой и клевета закон по напечатать иметь мало или и диффамация департамент решение и простой в фельетонист какой-то клевета тот диффамация как разный о что-то	речь идти только о тот иметь или не иметь по закон издатель право напечатать статья фельетонист и какой он совершить преступление напечатать она — диффамация или клевета и как диффамация включать в себя клевета или клевета диффамация и ещё что-то мало понятный для простой человек о разный статья и решение какой-то общий департамент
